id,name,position,team,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,offense_snaps,teams_offense_snaps,ypa,ypc,ypr,touches,count,comp_percentage,pass_td_percentage,int_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pass_ypg,rush_ypg,rec_ypg,ppg,ppr_ppg,ypg,pr,rookie_season,round,overall,ht,wt,forty,vertical,years_played
1,A.J. Brown,WR,PHI,2022,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,145,1496,11,2,2,1754,548,59,0,4.867588,6.9489183,211.6,299.6,1496,17,1004,1179,0,0,17,88,1,0,0,0,0,0.125,11,0.125,0,0,88,12.44705918,17.62352977,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,A.J. Brown,WR,TEN,2019,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,2,0,52,84,1051,8,1,0,1107,465,39,0,3.1795583,4.661604,165.1,217.1,1111,16,678,993,0,20,20.21,55,1,0,0,0,0.333,0.154,9,0.164,0,3.75,65.6875,10.31875038,13.56875038,0,33.87,2019,2,51,Jun-00,226,4.49,36.5,1
1,A.J. Brown,WR,TEN,2020,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,106,1075,11,2,1,1150,432,55,0,3.8118234,4.969659,177.5,247.5,1075,14,760,937,0,0,15.36,70,1,0,0,0,0,0.157,11,0.157,0,0,76.78571429,12.67857143,17.67857143,0,33.87,2019,2,51,Jun-00,226,4.49,36.5,2
1,A.J. Brown,WR,TEN,2021,REG,0,2,0,0,0,0,0,0,0,42,0,0,0,2,10,0,0,0,1,0,63,105,869,5,0,0,1218,235,45,0,3.599019,5.7988586,117.9,180.9,879,13,604,869,0,5,13.79,67,1,0,0,0,0,0.079,5,0.075,0,0.769230769,66.84615385,9.069230887,13.91538415,0,33.87,2019,2,51,Jun-00,226,4.49,36.5,3
2,A.J. Derby,TE,DEN,2016,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,160,0,1,1,135,50,7,0,0.52339184,0.3672983,14,30,160,6,188,399,0,0,10,16,1,0,0,0,0,0,0,0,0,0,26.66666667,2.333333333,5,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,A.J. Derby,TE,DEN,2017,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,224,2,1,1,268,74,10,0,0.9293901,0.9938318,32.4,51.4,224,9,285,627,0,0,11.79,19,1,0,0,0,0,0.105,2,0.105,0,0,24.88888889,3.60000017,5.711111281,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,A.J. Derby,TE,MIA,2017,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,20,0,0,0,94,18,1,0,0.22815838,0.2715488,2,4,20,2,51,128,0,0,10,2,1,0,0,0,0,0,0,0,0,0,10,1,2,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,A.J. Derby,TE,MIA,2018,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,48,1,0,0,44,9,3,0,0.18417874,0.25227785,10.8,13.8,48,3,78,172,0,0,16,3,1,0,0,0,0,0.333,1,0.333,0,0,16,3.600000064,4.600000064,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,A.J. Dillon,RB,GB,2020,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,46,242,2,0,0,11,0,2,2,21,0,0,0,5,16,1,0,0.06798246,0.028310468,38.3,40.3,263,9,0,0,0,5.26,10.5,48,1,0,0,0,0.043,0,2,0.042,0,26.88888889,2.333333333,4.255555471,4.477777693,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,A.J. Dillon,RB,GB,2021,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,187,803,5,1,1,50,0,34,37,313,2,1,0,14,310,15,0,1.0736609,0.060939807,151.6,185.6,1116,17,0,0,0,4.29,9.21,221,1,0,0,0,0.027,0.059,7,0.032,0,47.23529412,18.41176471,8.917647418,10.91764742,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
