PLAYER,TEAM,GP,FGM,FGA,3PM,3PA,FTM,FTA
Trae Young,ATL,76,711,1544,233,610,500,553
DeMar DeRozan,CHI,76,774,1535,50,142,520,593
Joel Embiid,PHI,68,666,1334,93,251,654,803
Jayson Tatum,BOS,76,708,1564,230,651,400,469
Nikola Jokic,DEN,74,764,1311,97,288,379,468
Giannis Antetokounmpo,MIL,67,689,1245,71,242,553,766
Luka Doncic,DAL,65,641,1403,201,569,364,489
Devin Booker,PHX,68,662,1421,183,478,315,363
Karl-Anthony Towns,MIN,74,642,1214,150,366,384,467
Donovan Mitchell,UTA,67,617,1376,232,654,267,313
LeBron James,LAL,56,640,1221,161,448,254,336
Kevin Durant,BKN,55,578,1115,115,300,372,409
Zach LaVine,CHI,67,565,1186,185,475,320,375
Stephen Curry,GSW,64,535,1224,285,750,275,298
Miles Bridges,CHA,80,596,1214,154,465,267,333
Ja Morant,MEM,57,580,1177,88,256,316,415
Jaylen Brown,BOS,66,576,1217,166,464,241,318
Pascal Siakam,TOR,68,596,1207,75,218,284,379
Anthony Edwards,MIN,72,549,1245,215,602,220,280
LaMelo Ball,CHA,75,538,1254,220,565,212,243
Darius Garland,CLE,68,542,1173,174,454,215,241
Julius Randle,NYK,72,512,1246,120,390,303,401
Russell Westbrook,LAL,78,548,1233,79,265,266,399
Dejounte Murray,SAS,68,573,1241,96,294,196,247
James Harden,PHI,65,407,992,148,448,470,536
Terry Rozier,CHA,73,518,1167,222,593,150,176
Jordan Poole,GSW,76,474,1058,211,580,246,266
RJ Barrett,NYK,70,487,1194,138,404,290,406
Desmond Bane,MEM,76,508,1101,228,523,140,155
Shai Gilgeous-Alexander,OKC,56,477,1052,89,297,328,405
CJ McCollum,NOP,62,536,1164,182,469,116,170
De'Aaron Fox,SAC,59,516,1092,74,249,261,348
Tyler Herro,MIA,66,501,1122,175,439,190,219
Khris Middleton,MIL,66,452,1021,162,434,259,291
Saddiq Bey,DET,82,450,1136,211,610,210,254
Fred VanVleet,TOR,65,442,1097,242,642,194,222
Jonas Valanciunas,NOP,74,510,938,57,158,237,289
Tyrese Maxey,PHI,75,483,995,132,309,213,246
Nikola Vucevic,CHI,73,546,1154,104,331,92,121
Jalen Brunson,DAL,79,506,1008,94,252,179,213
Gary Trent Jr.,TOR,70,450,1086,209,545,174,204
Keldon Johnson,SAS,75,471,1011,159,399,177,234
Jaren Jackson Jr.,MEM,78,430,1036,128,401,284,345
Jordan Clarkson,UTA,79,466,1113,190,597,144,174
Buddy Hield,IND,81,446,1098,262,716,111,127
Harrison Barnes,SAC,77,391,834,142,360,341,413
Reggie Jackson,LAC,75,479,1222,167,512,138,163
Tobias Harris,PHI,73,493,1022,101,275,170,202
Andrew Wiggins,GSW,73,475,1019,157,399,149,235
Bojan Bogdanovic,UTA,69,422,928,181,468,223,260
Brandon Ingram,NOP,55,453,983,74,226,266,322
Jrue Holiday,MIL,67,478,954,132,321,137,180
Jimmy Butler,MIA,57,398,829,27,116,396,455
Christian Wood,HOU,68,440,878,131,336,207,332
Franz Wagner,ORL,79,456,975,96,271,189,219
Tyrese Haliburton,IND,77,430,909,161,389,160,190
D'Angelo Russell,MIN,65,401,975,176,518,198,240
Domantas Sabonis,SAC,62,443,773,39,125,246,332
Mikal Bridges,PHX,82,458,858,115,312,131,157
Jalen Green,HOU,67,406,954,157,458,188,236
Kelly Oubre Jr.,CHA,76,410,932,191,553,126,189
Scottie Barnes,TOR,74,459,932,58,193,158,215
Kyle Kuzma,WAS,66,423,936,128,375,156,219
Aaron Gordon,DEN,75,434,834,87,260,171,230
Evan Fournier,NYK,80,402,965,241,619,80,113
Cade Cunningham,DET,64,429,1031,114,363,142,168
Bam Adebayo,MIA,56,406,729,0,6,256,340
Cole Anthony,ORL,65,357,912,132,391,216,253
