PLAYER,GP,PTS,FGM,FGA,3PM,3PA,FTM,FTA
Trae Young,76,2155,711,1544,233,610,500,553
DeMar DeRozan,76,2118,774,1535,50,142,520,593
Joel Embiid,68,2079,666,1334,93,251,654,803
Jayson Tatum,76,2046,708,1564,230,651,400,469
Nikola Jokic,74,2004,764,1311,97,288,379,468
Giannis Antetokounmpo,67,2002,689,1245,71,242,553,766
Luka Doncic,65,1847,641,1403,201,569,364,489
Devin Booker,68,1822,662,1421,183,478,315,363
Karl-Anthony Towns,74,1818,642,1214,150,366,384,467
Donovan Mitchell,67,1733,617,1376,232,654,267,313
LeBron James,56,1695,640,1221,161,448,254,336
Kevin Durant,55,1643,578,1115,115,300,372,409
Zach LaVine,67,1635,565,1186,185,475,320,375
Stephen Curry,64,1630,535,1224,285,750,275,298
Miles Bridges,80,1613,596,1214,154,465,267,333
Ja Morant,57,1564,580,1177,88,256,316,415
Jaylen Brown,66,1559,576,1217,166,464,241,318
Pascal Siakam,68,1551,596,1207,75,218,284,379
Anthony Edwards,72,1533,549,1245,215,602,220,280
LaMelo Ball,75,1508,538,1254,220,565,212,243
Darius Garland,68,1473,542,1173,174,454,215,241
Julius Randle,72,1447,512,1246,120,390,303,401
Russell Westbrook,78,1441,548,1233,79,265,266,399
Dejounte Murray,68,1438,573,1241,96,294,196,247
James Harden,65,1432,407,992,148,448,470,536
Terry Rozier,73,1408,518,1167,222,593,150,176
Jordan Poole,76,1405,474,1058,211,580,246,266
RJ Barrett,70,1402,487,1194,138,404,290,406
Desmond Bane,76,1384,508,1101,228,523,140,155
Shai Gilgeous-Alexander,56,1371,477,1052,89,297,328,405
CJ McCollum,62,1370,536,1164,182,469,116,170
De'Aaron Fox,59,1367,516,1092,74,249,261,348
Tyler Herro,66,1367,501,1122,175,439,190,219
Khris Middleton,66,1325,452,1021,162,434,259,291
Saddiq Bey,82,1321,450,1136,211,610,210,254
Fred VanVleet,65,1320,442,1097,242,642,194,222
Jonas Valanciunas,74,1314,510,938,57,158,237,289
Tyrese Maxey,75,1311,483,995,132,309,213,246
Nikola Vucevic,73,1288,546,1154,104,331,92,121
Jalen Brunson,79,1285,506,1008,94,252,179,213
Gary Trent Jr.,70,1283,450,1086,209,545,174,204
Keldon Johnson,75,1278,471,1011,159,399,177,234
Jaren Jackson Jr.,78,1272,430,1036,128,401,284,345
Jordan Clarkson,79,1266,466,1113,190,597,144,174
Buddy Hield,81,1265,446,1098,262,716,111,127
Harrison Barnes,77,1265,391,834,142,360,341,413
